id,count
444,16
445,19
446,22
447,20
448,21
449,23
450,18
451,23
452,22
453,24
454,24
455,20
456,23
457,26
458,26
459,25
460,23
461,22
462,20
463,16
464,18
465,17
466,17
467,16
468,15
469,17
470,16
471,16
472,14
473,13
474,18
475,18
476,16
477,18
478,20
479,19
480,24
481,27
482,31
483,31
484,30
485,33
486,33
487,33
488,31
489,25
490,23
491,20
492,23
493,23
494,22
495,22
496,24
497,24
498,26
499,27
500,29
501,26
502,25
503,24
504,26
505,31
506,32
507,28
508,29
509,29
510,30
511,29
512,27
513,29
514,28
515,25
516,27
517,27
518,25
519,22
520,23
521,26
522,25
523,22
524,19
525,24
526,20
527,20
528,20
529,24
530,24
531,23
532,20
533,20
534,23
535,26
536,26
537,23
538,19
539,19
540,18
541,18
542,16
543,15
544,17
545,17
546,18
547,20
548,17
549,23
550,25
551,29
552,29
553,30
554,29
555,23
556,22
557,21
558,21
559,21
560,22
561,24
562,27
563,26
564,26
565,23
566,24
567,26
568,26
569,25
570,24
571,20
572,23
573,23
574,23
575,24
576,24
577,22
578,22
579,26
580,22
581,23
582,23
583,21
584,20
585,20
586,23
587,27
588,24
589,25
590,26
591,26
592,25
593,25
594,23
595,20
596,18
597,18
598,14
599,15
600,19
601,19
602,19
603,18
604,19
605,21
606,24
607,23
608,25
609,23
610,25
611,27
612,28
613,30
614,32
615,30
616,29
617,27
618,28
619,26
620,25
621,29
622,28
623,25
624,26
625,25
626,25
627,22
628,22
629,22
630,23
631,21
632,22
633,25
634,26
635,27
636,24
637,31
638,27
639,28
640,29
641,28
642,28
643,25
644,24
645,24
646,24
647,24
648,23
649,22
650,22
651,24
652,20
653,19
654,19
655,17
656,16
657,17
658,13
659,14
660,17
661,17
662,18
663,19
664,18
665,18
666,20
667,20
668,19
669,19
670,19
671,19
672,21
673,23
674,23
675,22
676,22
677,23
678,24
679,24
680,23
681,24
682,27
683,27
684,37
685,38
686,36
687,35
688,32
689,32
690,32
691,33
692,33
693,35
694,31
695,28
696,29
697,31
698,33
699,34
700,34
701,33
702,32
703,33
704,35
705,33
706,32
707,36
708,42
709,47
710,42
711,41
712,40
713,39
714,41
715,45
716,42
717,39
718,40
719,43
720,49
721,47
722,47
723,50
724,48
725,46
726,48
727,47
728,46
729,47
730,43
731,42
732,42
733,38
734,33
735,33
736,33
737,34
738,36
739,32
740,33
741,40
742,35
743,35
744,34
745,32
746,33
747,34
748,34
749,31
750,35
751,36
752,41
753,43
754,39
755,43
756,45
757,46
758,48
759,43
760,43
761,45
762,48
763,49
764,49
765,50
766,46
767,47
768,49
769,42
770,35
771,33
772,32
773,31
774,34
775,34
776,37
777,37
778,31
779,33
780,29
781,29
782,27
783,28
784,28
785,28
786,27
787,28
788,27
789,29
790,29
791,30
792,32
793,31
794,30
795,28
796,28
797,27
798,26
799,28
800,33
801,34
802,34
803,29
804,30
805,33
806,30
807,27
808,26
809,28
810,26
811,26
812,27
813,28
814,30
815,30
816,26
817,29
818,26
819,27
820,33
821,37
822,34
823,36
824,34
825,33
826,32
827,32
828,33
829,31
830,33
831,34
832,35
833,32
834,28
835,22
836,25
837,26
838,32
839,32
840,31
841,32
842,32
843,27
844,27
845,25
846,23
847,21
848,23
849,23
850,25
851,24
852,24
853,24
854,21
855,22
856,22
857,21
858,23
859,25
860,23
861,23
862,25
863,25
864,24
865,21
866,21
867,22
868,22
869,23
870,23
871,23
872,27
873,29
874,27
875,28
876,28
877,30
878,31
879,28
880,32
881,29
882,28
883,28
884,24
885,25
886,25
887,22
888,22
889,22
890,23
891,25
892,27
893,30
894,29
895,32
896,36
897,40
898,41
899,42
900,41
901,45
902,46
903,45
904,45
905,43
906,42
907,41
908,41
909,42
910,41
911,42
912,42
913,42
914,41
915,36
916,32
917,31
918,35
919,38
920,35
921,32
922,34
923,38
924,40
925,40
926,40
927,43
928,38
929,42
930,42
931,36
932,33
933,32
934,35
935,36
936,34
937,29
938,31
939,31
940,28
941,26
942,25
943,25
944,26
945,31
946,26
947,30
948,30
949,32
950,33
951,32
952,34
953,37
954,34
955,33
956,32
957,32
958,33
959,31
960,30
961,34
962,31
963,31
964,30
965,29
966,28
967,32
968,30
969,32
970,31
971,32
972,32
973,34
974,35
975,35
976,32
977,35
978,37
979,37
980,41
981,39
982,38
983,39
984,38
985,43
986,40
987,45
988,42
989,48
990,46
991,46
992,43
993,42
994,42
995,44
996,45
997,43
998,41
999,42
1000,41
1001,39
1002,39
1003,40
1004,36
1005,37
1006,38
1007,35
1008,36
1009,38
1010,38
1011,40
1012,42
1013,42
1014,43
1015,42
1016,41
1017,44
1018,41
1019,38
1020,41
1021,38
1022,34
1023,32
1024,30
1025,30
1026,29
1027,26
1028,32
1029,33
1030,34
1031,36
1032,36
1033,35
1034,34
1035,33
1036,36
1037,36
1038,33
1039,27
1040,26
1041,27
1042,25
1043,23
1044,22
1045,22
1046,22
1047,22
1048,24
1049,24
1050,26
1051,26
1052,30
1053,29
1054,31
1055,36
1056,36
1057,38
1058,38
1059,38
1060,37
1061,37
1062,38
1063,36
1064,37
1065,41
1066,39
1067,36
1068,33
1069,31
1070,33
1071,36
1072,32
1073,30
1074,31
1075,30
1076,29
1077,29
1078,30
1079,31
1080,28
1081,26
1082,27
1083,31
1084,30
1085,32
1086,32
1087,33
1088,30
1089,28
1090,29
1091,31
1092,29
1093,30
1094,32
1095,30
1096,29
1097,32
1098,33
1099,31
1100,32
1101,32
1102,34
1103,34
1104,36
1105,36
1106,34
1107,33
1108,30
1109,32
1110,36
1111,37
1112,35
1113,36
1114,31
1115,30
1116,28
1117,27
1118,26
1119,28
1120,30
1121,32
1122,31
1123,30
1124,30
1125,31
1126,31
1127,32
1128,32
1129,35
1130,29
1131,30
1132,33
1133,38
1134,36
1135,33
1136,34
1137,36
1138,39
1139,35
1140,37
1141,44
1142,41
1143,42
1144,40
1145,37
1146,40
1147,40
1148,37
1149,31
1150,33
1151,34
1152,33
1153,32
1154,32
1155,24
1156,26
1157,26
1158,26
1159,28
1160,31
1161,30
1162,33
1163,34
1164,34
1165,33
1166,32
1167,30
1168,31
1169,32
1170,31
1171,33
1172,38
1173,35
1174,44
1175,44
1176,47
1177,48
1178,43
1179,46
1180,43
1181,42
1182,45
1183,50
1184,49
1185,46
1186,45
1187,45
1188,47
1189,47
1190,44
1191,38
1192,38
1193,37
1194,35
1195,32
1196,27
1197,29
1198,29
1199,28
1200,29
1201,28
1202,28
1203,29
1204,31
1205,34
1206,35
1207,35
1208,35
1209,37
1210,40
1211,40
1212,38
1213,41
1214,36
1215,32
1216,35
1217,34
1218,32
1219,29
1220,27
1221,26
1222,28
1223,27
1224,27
1225,28
1226,28
1227,29
1228,29
1229,30
1230,30
1231,31
1232,33
1233,32
1234,36
1235,37
1236,34
1237,34
1238,37
1239,35
1240,35
1241,30
1242,32
1243,32
1244,34
1245,32
1246,31
1247,32
1248,27
1249,25
1250,30
1251,29
1252,28
1253,29
1254,31
1255,31
1256,32
1257,30
1258,24
1259,26
1260,24
1261,21
1262,24
1263,26
1264,30
1265,33
1266,37
1267,33
1268,31
1269,30
1270,29
1271,29
1272,34
1273,37
1274,33
1275,33
1276,28
1277,29
1278,25
1279,21
1280,20
1281,22
1282,24
1283,25
1284,24
1285,26
1286,26
1287,23
1288,26
1289,26
1290,25
1291,26
1292,27
1293,28
1294,29
1295,28
1296,27
1297,25
1298,25
1299,27
1300,29
1301,29
1302,29
1303,29
1304,30
1305,29
1306,29
1307,31
1308,25
1309,25
1310,27
1311,30
1312,30
1313,25
1314,25
1315,23
1316,21
1317,26
1318,27
1319,29
1320,28
1321,29
1322,30
1323,33
1324,36
1325,36
1326,39
1327,37
1328,42
1329,44
1330,45
1331,41
1332,42
1333,43
1334,45
1335,39
1336,42
1337,40
1338,33
1339,36
1340,38
1341,37
1342,35
1343,34
1344,36
1345,40
1346,41
1347,39
1348,41
1349,40
1350,37
1351,29
1352,28
1353,27
1354,31
1355,27
1356,23
1357,23
1358,27
1359,26
1360,27
1361,26
1362,27
1363,28
1364,29
1365,30
1366,31
1367,31
1368,30
1369,28
1370,28
1371,28
1372,27
1373,29
1374,30
1375,29
1376,27
1377,29
1378,28
1379,27
1380,27
1381,32
1382,31
1383,30
1384,28
1385,23
1386,23
1387,23
1388,22
1389,29
1390,34
1391,34
1392,33
1393,38
1394,39
1395,37
1396,37
1397,36
1398,32
1399,35
1400,35
1401,35
1402,30
1403,29
1404,30
1405,27
1406,28
1407,28
1408,27
1409,25
1410,24
1411,24
1412,25
1413,24
1414,25
1415,23
1416,24
1417,29
1418,28
1419,30
1420,27
1421,29
1422,33
1423,29
1424,35
1425,37
1426,37
1427,33
1428,35
1429,34
1430,37
1431,35
1432,34
1433,35
1434,38
1435,33
1436,29
1437,31
1438,30
1439,29
1440,28
1441,30
1442,30
1443,31
1444,34
1445,30
1446,30
1447,27
1448,27
1449,30
1450,28
1451,31
1452,34
1453,37
1454,35
1455,35
1456,34
1457,35
1458,34
1459,32
1460,30
1461,32
1462,32
1463,32
1464,30
1465,35
1466,34
1467,35
1468,34
1469,31
1470,27
1471,21
1472,24
1473,23
1474,20
1475,20
1476,19
1477,18
1478,19
1479,21
1480,22
1481,22
1482,23
1483,22
1484,25
1485,24
1486,24
1487,25
1488,26
1489,28
1490,31
1491,28
1492,29
1493,29
1494,26
1495,28
1496,28
1497,25
1498,26
1499,24
1500,22
1501,22
1502,23
1503,19
1504,19
1505,17
1506,18
1507,20
1508,20
1509,20
1510,19
1511,19
1512,22
1513,22
1514,21
1515,25
1516,28
1517,30
1518,29
1519,26
1520,27
1521,27
1522,30
1523,27
1524,29
1525,26
1526,28
1527,27
1528,25
1529,23
1530,23
1531,26
1532,27
1533,25
1534,35
1535,36
1536,35
1537,33
1538,34
1539,31
1540,33
1541,34
1542,38
1543,38
1544,37
1545,39
1546,38
1547,38
1548,38
1549,36
1550,41
1551,41
1552,40
1553,37
1554,38
1555,36
1556,37
1557,35
1558,31
1559,34
1560,32
1561,35
1562,34
1563,37
1564,35
1565,30
1566,30
1567,33
1568,37
1569,39
1570,36
1571,39
1572,40
1573,40
1574,38
1575,45
1576,48
1577,42
1578,36
1579,39
1580,39
1581,37
1582,33
1583,31
1584,33
1585,34
1586,32
1587,32
1588,29
1589,29
1590,32
1591,31
1592,26
1593,28
1594,29
1595,28
1596,31
1597,30
1598,37
1599,37
1600,35
1601,34
1602,31
1603,32
1604,35
1605,32
1606,34
1607,37
1608,39
1609,40
1610,45
1611,45
1612,45
1613,47
1614,47
1615,44
1616,41
1617,38
1618,43
1619,43
1620,42
1621,39
1622,37
1623,37
1624,34
1625,34
1626,34
1627,33
1628,33
1629,31
1630,33
1631,29
1632,27
1633,27
1634,28
1635,33
1636,34
1637,37
1638,34
1639,39
1640,34
1641,39
1642,37
1643,33
1644,37
1645,42
1646,39
1647,40
1648,39
1649,38
1650,41
1651,40
1652,43
1653,42
1654,45
1655,45
1656,47
1657,45
1658,46
1659,46
1660,44
1661,38
1662,34
1663,32
1664,33
1665,32
1666,28
1667,25
1668,23
1669,22
1670,23
1671,25
1672,26
1673,29
1674,29
1675,30
1676,30
1677,29
1678,31
1679,30
1680,32
1681,34
1682,33
1683,33
1684,32
1685,30
1686,28
1687,30
1688,36
1689,35
1690,35
1691,30
1692,29
1693,29
1694,32
1695,34
1696,35
1697,31
1698,29
1699,28
1700,27
1701,31
1702,29
1703,36
1704,35
1705,37
1706,30
1707,32
1708,33
1709,37
1710,37
1711,33
1712,40
1713,43
1714,43
1715,42
1716,45
1717,44
1718,41
1719,45
1720,43
1721,40
1722,40
1723,44
1724,44
1725,44
1726,44
1727,44
1728,41
1729,45
1730,48
1731,47
1732,44
1733,38
1734,43
1735,39
1736,40
1737,38
1738,34
1739,37
1740,35
1741,33
1742,36
1743,32
1744,27
1745,29
1746,27
1747,30
1748,28
1749,31
1750,28
1751,28
1752,27
1753,28
1754,32
1755,30
1756,32
1757,30
1758,30
1759,26
1760,26
1761,23
1762,25
1763,27
1764,26
1765,25
1766,24
1767,22
1768,20
1769,20
1770,20
1771,21
1772,21
1773,26
1774,27
1775,30
1776,30
1777,34
1778,29
1779,30
1780,29
1781,31
1782,35
1783,34
1784,36
1785,37
1786,38
1787,31
1788,28
1789,27
1790,25
1791,27
1792,27
1793,32
1794,31
1795,26
1796,25
1797,28
1798,28
1799,30
1800,33
1801,31
1802,34
1803,29
1804,32
1805,31
1806,30
1807,30
1808,29
1809,33
1810,39
1811,41
1812,39
1813,37
1814,38
1815,34
1816,33
1817,32
1818,30
1819,33
1820,35
1821,37
1822,35
1823,36
1824,34
1825,33
1826,32
1827,32
1828,32
1829,35
1830,35
1831,36
1832,35
1833,31
1834,32
1835,31
1836,30
1837,32
1838,34
1839,37
1840,39
1841,40
1842,37
1843,39
1844,43
1845,37
1846,37
1847,36
1848,41
1849,44
1850,45
1851,44
1852,41
1853,43
1854,44
1855,38
1856,37
1857,33
1858,32
1859,31
1860,31
1861,30
1862,34
1863,36
1864,33
1865,32
1866,32
1867,27
1868,29
1869,30
1870,35
1871,40
1872,41
1873,44
1874,42
1875,36
1876,37
1877,35
1878,40
1879,40
1880,42
1881,45
1882,42
1883,39
1884,33
1885,35
1886,35
1887,39
1888,33
1889,33
1890,35
1891,31
1892,30
1893,26
1894,26
1895,26
1896,28
1897,27
1898,27
1899,27
1900,26
1901,30
1902,31
1903,30
1904,30
1905,33
1906,35
1907,32
1908,26
1909,30
1910,28
1911,29
1912,28
1913,27
1914,26
1915,29
1916,30
1917,30
1918,27
1919,30
1920,32
1921,33
1922,28
1923,29
1924,30
1925,29
1926,35
1927,34
1928,33
1929,31
1930,35
1931,28
1932,29
1933,26
1934,25
1935,28
1936,31
1937,29
1938,29
1939,30
1940,30
1941,30
1942,28
1943,29
1944,26
1945,25
1946,25
1947,25
1948,24
1949,24
1950,27
1951,30
1952,32
1953,29
1954,27
1955,28
1956,32
1957,33
1958,32
1959,28
1960,27
1961,26
1962,28
1963,26
1964,28
1965,29
1966,30
1967,30
1968,28
1969,29
1970,29
1971,25
1972,30
1973,29
1974,28
1975,28
1976,27
1977,27
1978,30
1979,30
1980,30
1981,30
1982,29
1983,34
1984,33
1985,35
1986,36
1987,31
1988,26
1989,26
1990,26
1991,28
1992,28
1993,28
1994,28
1995,29
1996,27
1997,27
1998,25
1999,26
2000,26
